,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1422,1109.0,0,2.1,0,1,0,34,0.1,173.0,1,4,165.0,1103.0,2821.0,13,5,17,1,0,1,2
1010,683.0,0,0.7,0,5,0,19,0.9,173.0,4,17,954.0,1985.0,2622.0,16,3,5,0,0,1,2
493,1902.0,0,2.8,1,6,0,50,0.8,124.0,8,9,1142.0,1393.0,343.0,11,8,18,0,1,0,0
1320,1538.0,1,2.3,0,6,1,13,0.2,121.0,7,7,567.0,986.0,1494.0,18,10,12,1,1,1,1
277,1281.0,1,2.8,1,3,1,8,0.3,144.0,4,19,590.0,954.0,1851.0,8,2,9,1,1,0,1
1846,689.0,0,2.9,1,3,1,7,0.8,147.0,2,6,487.0,722.0,1241.0,9,0,16,1,0,0,0
358,1394.0,1,0.9,1,10,1,62,0.3,175.0,5,13,1010.0,1565.0,473.0,11,1,20,1,1,0,0
1110,745.0,1,0.6,1,5,0,35,0.8,102.0,8,10,89.0,1538.0,2459.0,14,1,16,1,1,0,1
236,1133.0,0,1.4,0,3,0,42,0.1,199.0,5,12,730.0,1543.0,1457.0,18,12,20,1,0,1,1
551,1900.0,1,2.0,1,1,0,41,0.5,190.0,8,6,912.0,1596.0,850.0,5,1,4,1,1,1,1
1867,1193.0,1,2.3,0,7,0,20,1.0,158.0,7,13,1442.0,1904.0,1958.0,7,5,2,1,0,0,2
1812,1565.0,1,0.5,0,0,0,38,0.1,121.0,5,1,781.0,1364.0,308.0,19,17,7,1,1,1,0
208,664.0,1,1.1,1,1,1,51,0.1,110.0,7,4,701.0,1478.0,3629.0,19,15,6,1,1,1,3
1386,610.0,1,1.6,1,9,0,52,0.4,90.0,4,19,1039.0,1273.0,3472.0,10,4,12,1,1,1,3
1560,1872.0,0,0.5,0,5,1,26,0.5,172.0,4,10,672.0,1088.0,2273.0,8,4,8,1,0,1,2
58,1757.0,0,0.5,0,8,0,49,0.5,180.0,6,14,265.0,713.0,2056.0,7,5,4,0,0,0,1
631,1063.0,1,1.1,0,0,1,26,0.8,101.0,5,2,1208.0,1232.0,3809.0,17,16,5,1,0,1,3
1961,672.0,1,0.6,1,13,0,61,0.1,194.0,5,20,724.0,1127.0,1457.0,14,10,20,1,0,1,0
1859,649.0,1,1.4,0,4,1,19,0.8,190.0,7,12,344.0,1551.0,739.0,18,1,2,1,1,0,0
1816,584.0,1,1.7,1,1,1,19,0.4,199.0,4,4,919.0,1343.0,3996.0,12,9,17,1,1,1,3
363,879.0,0,1.5,1,0,1,21,0.8,187.0,4,2,463.0,1038.0,2927.0,14,13,11,1,0,1,2
505,1846.0,1,0.6,0,1,0,19,0.7,159.0,1,2,83.0,773.0,1333.0,15,6,11,0,1,1,1
1165,1268.0,1,2.9,0,9,1,42,0.9,182.0,6,17,360.0,912.0,931.0,11,5,20,1,1,0,0
1121,1545.0,0,1.3,1,15,1,35,0.1,173.0,5,20,115.0,1352.0,3197.0,14,9,6,1,0,1,3
1629,1232.0,0,1.2,0,12,0,30,0.9,131.0,6,14,625.0,761.0,1656.0,8,4,15,1,1,1,1
1216,1158.0,0,0.7,1,1,1,29,0.7,123.0,2,20,311.0,1796.0,1542.0,17,9,15,1,0,1,1
1151,696.0,1,2.4,0,11,1,35,0.2,103.0,3,13,533.0,797.0,2022.0,14,11,4,1,0,1,1
1124,680.0,1,2.1,1,9,1,9,0.1,131.0,3,11,1428.0,1500.0,2438.0,14,2,17,1,0,0,2
1594,586.0,1,0.6,0,16,1,42,0.3,121.0,7,17,785.0,1118.0,1869.0,12,2,7,1,1,1,1
118,1308.0,0,1.3,1,8,0,46,0.9,199.0,1,12,275.0,989.0,488.0,5,3,9,0,1,0,0
1249,504.0,1,2.8,1,2,0,54,0.4,163.0,2,10,1207.0,1539.0,2378.0,17,11,2,1,0,0,2
1993,1467.0,1,0.5,0,0,0,18,0.6,122.0,5,0,888.0,1099.0,3962.0,15,11,5,1,1,1,3
522,1748.0,0,1.7,1,6,1,14,0.5,146.0,3,7,859.0,1234.0,3968.0,16,12,3,1,0,1,3
513,1417.0,1,0.5,0,10,1,45,0.9,166.0,4,19,364.0,1029.0,2129.0,13,9,12,1,0,1,1
81,999.0,0,2.9,1,11,1,64,0.2,199.0,4,19,1397.0,1616.0,2593.0,14,11,16,1,1,0,2
915,1265.0,0,0.6,1,4,1,49,0.5,90.0,1,5,275.0,687.0,1518.0,16,11,8,1,0,1,1
1018,1000.0,1,0.5,0,12,0,63,0.7,179.0,8,18,1537.0,1761.0,3744.0,11,1,7,0,0,1,3
380,1874.0,1,2.7,1,10,0,8,0.9,166.0,7,13,964.0,1233.0,1246.0,8,1,2,0,0,1,1
1029,1658.0,1,1.4,1,0,1,38,0.3,159.0,5,0,51.0,739.0,2609.0,12,11,19,1,0,0,2
1688,673.0,1,1.9,0,13,1,35,0.4,142.0,6,14,1096.0,1570.0,3541.0,18,17,4,1,0,1,3
84,1127.0,1,2.9,1,5,1,57,0.8,163.0,1,13,928.0,1049.0,2048.0,11,5,17,1,1,1,1
1677,614.0,1,0.7,0,4,1,51,0.1,178.0,7,7,1012.0,1040.0,2854.0,10,7,12,1,0,1,2
329,972.0,1,0.5,1,5,0,13,0.4,193.0,5,8,1392.0,1795.0,1615.0,11,6,13,0,1,0,1
6,1821.0,0,1.7,0,4,1,10,0.8,139.0,8,10,381.0,1018.0,3220.0,13,8,18,1,0,1,3
745,894.0,0,2.1,1,16,0,16,0.7,168.0,8,20,286.0,1300.0,3377.0,5,1,6,1,1,1,2
1553,891.0,0,1.9,1,1,1,18,0.1,153.0,6,3,40.0,1435.0,1303.0,17,16,4,1,1,1,0
914,694.0,1,1.8,1,15,0,36,0.4,193.0,4,20,983.0,1230.0,3676.0,12,8,5,1,0,1,3
873,603.0,1,0.7,1,0,1,64,0.2,156.0,6,0,1842.0,1968.0,604.0,10,4,8,1,1,1,0
451,972.0,1,1.7,0,0,1,54,0.7,107.0,3,4,681.0,1050.0,1900.0,16,8,19,1,0,1,1
490,685.0,0,2.7,0,7,0,17,0.3,174.0,6,20,725.0,870.0,1223.0,8,0,18,1,0,1,0
1480,603.0,0,1.5,0,8,0,12,0.7,114.0,6,20,1003.0,1284.0,1543.0,7,5,19,1,1,0,1
287,1563.0,0,2.4,0,0,1,24,0.2,170.0,8,0,142.0,1699.0,3660.0,7,5,5,1,1,0,3
948,1631.0,0,0.5,0,2,1,13,0.5,166.0,2,16,960.0,1735.0,2173.0,12,3,8,1,1,0,2
1985,1829.0,1,2.1,0,8,0,59,0.1,91.0,5,15,1457.0,1919.0,3142.0,16,6,5,1,1,1,3
1368,541.0,1,2.3,0,4,0,51,0.4,200.0,8,17,1012.0,1226.0,403.0,11,2,12,0,0,0,0
1146,1923.0,0,1.0,1,5,1,14,0.9,154.0,4,6,15.0,525.0,2519.0,13,0,16,1,0,1,2
705,1519.0,0,2.9,0,2,0,30,0.7,112.0,7,8,1122.0,1702.0,2440.0,9,5,10,1,1,1,2
1726,990.0,1,2.7,1,3,0,15,0.9,153.0,2,7,1466.0,1717.0,2698.0,11,8,6,1,0,0,2
1701,1306.0,1,2.1,1,2,1,33,0.4,174.0,3,9,867.0,1258.0,2521.0,6,5,16,1,0,0,2
1628,999.0,0,2.6,1,11,1,56,1.0,165.0,4,13,342.0,1641.0,3083.0,8,4,11,1,1,1,2
1599,1166.0,1,0.5,0,7,0,59,0.5,80.0,1,11,437.0,638.0,3887.0,8,6,7,1,0,1,3
1538,1070.0,1,3.0,0,9,0,19,0.8,160.0,7,16,90.0,1614.0,2647.0,14,13,20,0,1,0,2
1405,1973.0,1,0.5,1,3,0,21,0.8,95.0,8,7,127.0,507.0,1724.0,12,10,8,0,0,1,1
1650,1948.0,0,2.9,1,4,0,5,0.2,136.0,1,13,651.0,700.0,361.0,6,1,10,0,1,0,0
327,1995.0,1,0.5,0,6,0,26,0.2,129.0,1,15,649.0,1104.0,1322.0,15,11,7,0,1,1,1
442,902.0,1,0.7,0,3,0,3,0.3,134.0,7,9,675.0,1285.0,3411.0,12,11,15,0,0,1,3
774,969.0,0,2.4,0,0,0,45,0.3,124.0,7,0,491.0,589.0,404.0,18,5,19,1,0,1,0
1087,1331.0,0,0.5,0,8,0,55,0.9,146.0,3,15,1162.0,1531.0,1732.0,6,2,11,1,0,1,1
1220,580.0,1,2.1,1,0,0,24,0.4,135.0,4,5,404.0,898.0,3565.0,12,11,8,1,0,1,2
1635,1843.0,0,2.8,0,1,1,62,0.8,104.0,3,7,21.0,832.0,3899.0,5,4,6,1,0,1,3
177,1949.0,0,1.3,1,0,0,23,0.1,101.0,5,1,839.0,1136.0,2478.0,14,8,20,1,0,0,3
1322,808.0,0,1.9,0,7,0,20,0.8,185.0,6,14,496.0,974.0,1471.0,13,4,11,0,1,0,0
704,1358.0,0,2.5,1,0,0,20,0.6,135.0,7,0,1485.0,1655.0,3406.0,5,1,11,0,0,1,3
86,1496.0,1,2.0,1,4,0,42,0.5,182.0,5,5,96.0,741.0,854.0,16,0,7,0,1,1,0
1883,1205.0,1,2.7,0,5,0,10,0.1,163.0,6,10,321.0,1870.0,953.0,18,11,20,0,1,1,0
1947,1788.0,0,0.5,0,0,1,6,0.2,141.0,6,16,149.0,1022.0,2321.0,7,5,20,1,1,0,2
457,1128.0,1,1.4,0,12,0,53,0.4,84.0,5,14,609.0,1370.0,2982.0,14,9,12,1,1,0,3
1828,1576.0,1,2.2,0,8,0,5,0.7,139.0,3,17,258.0,789.0,3904.0,5,1,7,1,1,1,3
54,1073.0,1,0.5,1,0,0,51,0.5,145.0,7,0,690.0,804.0,2908.0,6,0,18,0,1,0,2
1501,1970.0,1,0.5,1,0,1,15,1.0,132.0,2,0,1399.0,1684.0,1658.0,15,9,20,1,1,1,2
643,920.0,1,0.5,0,2,0,46,0.8,149.0,3,3,1058.0,1421.0,2608.0,6,0,2,0,0,1,2
677,1260.0,0,0.6,0,5,1,13,1.0,106.0,6,6,165.0,736.0,2710.0,13,1,8,1,1,0,2
221,660.0,0,0.5,0,5,1,40,0.5,111.0,2,10,262.0,1178.0,588.0,6,5,18,1,1,1,0
113,1310.0,1,1.1,1,13,0,7,1.0,194.0,5,14,117.0,513.0,3182.0,8,4,5,1,1,0,2
982,1035.0,0,0.6,1,2,1,44,0.5,99.0,3,3,236.0,1960.0,3506.0,14,5,12,1,1,0,3
1228,1820.0,1,1.7,1,0,1,64,0.6,161.0,1,3,1157.0,1951.0,574.0,10,2,18,1,1,0,1
999,1777.0,1,3.0,0,3,0,20,0.6,188.0,6,5,511.0,616.0,3868.0,5,1,7,0,1,1,3
174,534.0,0,0.5,1,0,1,16,1.0,189.0,5,1,393.0,1199.0,3926.0,16,12,20,1,0,0,3
781,1368.0,0,3.0,1,10,0,50,0.2,97.0,7,18,698.0,829.0,2496.0,13,6,5,0,1,1,2
589,1219.0,0,1.0,1,0,0,17,0.7,196.0,5,4,473.0,1022.0,705.0,11,3,6,0,1,1,0
1559,671.0,0,2.9,0,7,1,2,0.1,95.0,6,19,614.0,1617.0,2278.0,13,4,2,1,0,0,2
18,1131.0,1,0.5,1,11,0,49,0.6,101.0,5,18,658.0,878.0,1835.0,19,13,16,1,1,0,1
423,1681.0,1,2.5,0,2,0,11,0.4,158.0,2,13,195.0,1205.0,1122.0,12,6,16,0,1,1,0
1343,835.0,0,0.8,1,2,1,42,0.8,128.0,5,18,396.0,1378.0,2583.0,15,2,13,1,1,1,2
285,1172.0,0,1.9,0,0,1,27,0.7,164.0,1,3,607.0,1092.0,1477.0,12,0,6,1,0,0,1
1583,964.0,0,2.0,0,0,1,22,0.7,86.0,8,0,225.0,1234.0,2577.0,17,16,5,1,1,0,2
428,1197.0,0,1.3,0,3,1,20,0.5,149.0,6,7,649.0,1629.0,1797.0,19,5,4,1,1,1,1
1509,1972.0,1,1.6,0,0,0,48,0.5,92.0,8,2,290.0,804.0,2872.0,7,2,11,1,0,1,3
1318,1275.0,1,0.5,1,3,1,5,0.2,152.0,1,9,19.0,501.0,3784.0,13,4,4,1,1,0,3
669,723.0,0,0.5,0,0,1,3,0.2,168.0,4,3,920.0,1748.0,1851.0,15,3,16,1,0,0,1
31,1568.0,1,0.5,0,16,0,33,1.0,150.0,8,20,413.0,654.0,508.0,5,1,6,1,1,1,0
940,1456.0,0,1.6,1,9,1,39,0.1,80.0,8,10,815.0,1666.0,3998.0,6,3,13,1,1,0,3
722,1156.0,0,0.5,0,6,0,61,0.1,89.0,7,9,1214.0,1262.0,1796.0,16,6,13,0,1,1,1
994,818.0,0,1.3,0,14,0,43,0.9,177.0,6,15,111.0,510.0,546.0,12,6,7,1,1,1,0
214,903.0,0,1.0,1,0,1,50,0.4,91.0,1,0,1230.0,1235.0,711.0,9,5,10,1,1,0,0
813,721.0,1,1.3,1,10,0,16,0.9,125.0,1,18,408.0,1862.0,1713.0,10,3,4,0,1,1,1
326,1144.0,1,1.5,1,0,0,21,0.4,189.0,1,11,159.0,724.0,3252.0,16,0,8,0,0,0,2
560,1168.0,0,1.3,0,9,0,61,0.1,90.0,8,10,159.0,1578.0,3173.0,9,4,17,0,0,1,3
1112,586.0,0,0.5,1,1,0,57,0.3,188.0,2,5,1226.0,1389.0,3646.0,15,4,11,1,1,1,3
700,561.0,1,2.1,1,7,1,2,0.1,193.0,3,13,1055.0,1294.0,665.0,10,0,4,1,1,0,0
1578,1856.0,0,0.5,1,0,1,24,0.1,155.0,5,1,277.0,1155.0,2052.0,17,6,10,1,1,0,2
1189,511.0,0,0.7,1,1,1,52,0.7,180.0,2,10,24.0,759.0,3865.0,8,3,7,1,0,1,2
341,811.0,1,2.4,1,5,1,2,0.3,106.0,6,13,333.0,1429.0,2111.0,18,7,2,1,0,1,1
629,1914.0,0,0.7,0,1,0,35,0.6,118.0,8,2,942.0,1701.0,643.0,17,1,8,1,0,1,1
147,1461.0,0,2.4,1,3,1,40,0.5,141.0,7,4,1265.0,1298.0,3799.0,16,1,4,1,0,0,3
1309,1433.0,1,2.3,0,2,1,5,0.1,129.0,5,11,420.0,784.0,2132.0,18,15,19,1,0,1,1
360,809.0,0,0.8,0,10,0,21,0.9,91.0,7,19,1453.0,1726.0,1274.0,18,7,3,0,0,0,1
83,1008.0,0,0.8,0,11,0,61,1.0,114.0,3,15,1077.0,1122.0,2009.0,10,3,11,1,0,0,1
48,578.0,1,2.6,1,2,1,57,0.2,162.0,8,8,1025.0,1433.0,1270.0,15,3,5,1,0,1,0
468,765.0,0,2.9,0,0,1,18,0.1,153.0,7,0,6.0,793.0,1066.0,11,1,16,1,1,0,0
155,1692.0,0,2.3,1,4,1,46,0.9,139.0,1,6,674.0,1925.0,1394.0,16,10,6,1,1,0,1
772,576.0,0,0.8,0,0,1,27,0.1,121.0,2,4,757.0,1518.0,1519.0,18,6,8,1,0,1,1
1239,1240.0,0,1.6,0,0,0,39,0.1,146.0,2,9,1511.0,1756.0,3260.0,13,1,17,0,0,1,3
1200,530.0,0,2.4,0,1,0,32,0.3,88.0,6,20,48.0,1012.0,959.0,17,7,6,0,1,0,0
1402,948.0,0,1.5,1,6,0,18,0.3,119.0,4,7,340.0,1728.0,2926.0,17,13,9,1,1,1,2
1202,1068.0,0,2.7,1,0,1,45,0.6,194.0,5,1,935.0,1499.0,1754.0,17,7,9,1,0,1,1
1630,1194.0,0,2.3,0,6,1,34,0.2,165.0,2,12,494.0,509.0,313.0,15,1,19,1,1,0,0
500,1278.0,1,0.5,1,1,0,54,0.1,104.0,8,16,581.0,750.0,1155.0,7,1,20,0,0,1,0
1764,1811.0,1,2.0,0,3,1,22,0.2,82.0,2,8,358.0,614.0,2847.0,9,2,4,1,0,1,2
179,801.0,1,2.2,1,2,0,63,0.4,165.0,7,4,650.0,879.0,1617.0,17,4,19,0,0,1,1
1047,576.0,0,1.2,0,1,0,30,0.8,162.0,8,5,847.0,893.0,2800.0,11,6,16,0,1,1,2
1755,1322.0,0,2.3,1,1,1,35,0.1,157.0,1,3,443.0,708.0,3684.0,15,8,6,1,0,0,3
950,1382.0,1,0.5,0,7,1,13,0.3,199.0,2,18,612.0,719.0,2073.0,16,7,9,1,0,1,1
1316,1924.0,0,2.6,0,0,1,59,0.9,136.0,6,0,1438.0,1923.0,3646.0,10,9,16,1,0,1,3
1619,1641.0,0,1.1,0,6,0,48,0.7,97.0,8,7,224.0,1994.0,1695.0,13,6,17,1,0,1,2
528,1671.0,0,0.6,1,7,1,61,0.1,129.0,2,11,263.0,848.0,2336.0,10,4,7,1,0,0,2
346,576.0,1,2.8,0,2,1,10,0.2,184.0,5,7,513.0,1438.0,2938.0,6,0,5,1,1,1,2
1387,1533.0,1,1.1,1,18,1,17,0.3,160.0,4,20,1054.0,1393.0,2520.0,8,2,11,1,0,1,2
1960,1063.0,0,2.0,0,0,0,27,0.2,86.0,6,7,201.0,582.0,2668.0,12,5,19,0,0,0,2
1050,718.0,0,0.7,1,0,1,21,0.8,88.0,1,7,518.0,830.0,1754.0,17,11,9,1,0,1,1
1972,1191.0,0,0.8,0,6,1,46,0.8,89.0,6,9,42.0,807.0,824.0,19,18,7,1,0,0,0
1441,599.0,1,2.9,0,0,1,64,0.3,186.0,8,1,103.0,646.0,3396.0,5,3,7,1,0,0,2
601,1595.0,1,0.8,1,0,1,44,0.7,85.0,4,20,1024.0,1838.0,3881.0,14,10,9,1,0,1,3
1281,1370.0,0,1.4,0,5,1,6,0.2,158.0,6,8,1392.0,1783.0,3703.0,13,10,11,1,1,0,3
243,1918.0,0,1.9,0,2,0,10,0.6,110.0,5,10,1170.0,1543.0,1717.0,7,1,16,1,1,1,2
1336,1811.0,1,2.5,0,4,1,5,0.6,98.0,4,16,447.0,568.0,2700.0,13,7,8,1,1,1,2
1067,1703.0,1,0.5,0,5,1,23,0.2,92.0,6,7,134.0,521.0,793.0,7,3,17,1,1,0,0
1475,1154.0,0,1.1,1,2,1,5,0.2,98.0,1,13,539.0,1240.0,1470.0,12,0,12,1,0,0,1
312,894.0,0,0.5,1,1,1,50,0.5,199.0,3,14,1285.0,1462.0,3615.0,13,0,6,1,0,1,3
435,954.0,1,0.5,0,0,0,50,0.3,134.0,2,11,228.0,1058.0,438.0,17,0,2,1,0,0,0
1898,684.0,1,0.9,1,3,1,63,1.0,157.0,5,9,159.0,1738.0,3756.0,17,5,12,1,1,1,3
1328,507.0,1,1.9,1,0,1,39,0.7,142.0,1,0,17.0,1084.0,2124.0,6,0,12,1,1,0,1
308,1530.0,0,2.0,0,11,0,42,0.8,177.0,6,13,454.0,1975.0,725.0,11,10,19,0,0,1,0
430,1887.0,1,3.0,1,6,1,17,0.2,126.0,8,7,1172.0,1798.0,3348.0,18,16,16,1,1,0,3
660,568.0,0,2.0,0,1,0,36,0.3,179.0,3,4,181.0,1703.0,950.0,17,9,9,1,0,0,0
370,1108.0,1,2.9,0,10,0,52,0.1,183.0,2,12,130.0,1706.0,3264.0,16,1,13,0,1,1,3
566,1170.0,1,1.2,0,4,0,30,0.4,83.0,8,15,27.0,1722.0,1073.0,6,4,8,1,1,0,0
979,1866.0,1,2.5,1,3,1,47,0.8,89.0,5,9,358.0,1782.0,1444.0,7,4,20,1,0,0,1
181,1165.0,1,2.4,0,11,0,41,0.2,178.0,6,12,564.0,831.0,764.0,19,12,15,1,0,0,0
1362,1991.0,0,2.2,1,1,1,42,0.7,82.0,1,13,366.0,613.0,722.0,6,5,10,1,1,0,0
621,1944.0,1,0.5,0,5,1,36,0.1,197.0,6,18,1060.0,1970.0,584.0,17,14,13,1,1,0,1
818,1320.0,0,0.5,1,7,0,48,0.2,168.0,5,16,103.0,1583.0,2893.0,8,5,9,0,0,1,2
1192,1030.0,1,0.5,0,4,1,37,0.7,147.0,1,8,503.0,551.0,2800.0,8,6,12,1,0,1,2
952,1444.0,1,2.1,0,9,0,38,0.4,104.0,7,16,624.0,917.0,3764.0,14,9,10,0,0,0,3
1421,667.0,0,1.3,1,4,1,6,0.1,149.0,6,10,272.0,870.0,3566.0,9,5,12,1,0,1,2
1840,1564.0,0,1.5,1,1,0,42,0.7,108.0,2,2,1619.0,1962.0,3376.0,7,0,7,0,1,0,3
922,874.0,0,1.3,0,5,0,8,0.5,185.0,1,20,442.0,1248.0,582.0,6,4,15,0,0,0,0
1073,1189.0,1,2.3,0,13,0,8,0.5,198.0,3,14,379.0,932.0,893.0,9,6,13,1,1,0,0
296,1595.0,1,2.6,0,7,0,12,0.3,121.0,8,19,344.0,655.0,3608.0,15,1,16,0,1,0,3
966,1910.0,1,1.7,0,0,0,34,0.6,115.0,2,0,985.0,1284.0,309.0,8,4,10,0,0,1,0
461,1512.0,1,1.7,0,12,0,6,0.7,162.0,7,17,205.0,884.0,2335.0,15,7,7,1,1,1,2
1302,1928.0,0,2.6,0,5,0,5,0.8,162.0,5,16,229.0,1004.0,696.0,14,12,15,1,1,1,0
1176,1590.0,0,1.5,1,12,1,14,0.5,187.0,4,15,1058.0,1109.0,2836.0,6,5,4,1,0,0,3
377,930.0,1,1.3,1,1,1,14,0.4,97.0,6,10,77.0,1025.0,2457.0,11,7,17,1,1,0,1
798,1800.0,1,0.7,0,2,1,8,0.4,100.0,7,6,400.0,823.0,3481.0,10,8,8,1,0,1,3
1102,514.0,1,0.7,0,4,0,57,0.1,186.0,3,7,168.0,1320.0,687.0,6,0,20,1,1,1,0
105,832.0,0,0.7,1,2,1,39,0.7,103.0,4,3,125.0,1504.0,1799.0,5,2,11,1,0,1,1
126,826.0,1,2.4,1,0,1,58,0.3,88.0,4,1,179.0,786.0,2863.0,9,3,18,1,0,1,2
1995,794.0,1,0.5,1,0,1,2,0.8,106.0,6,14,1222.0,1890.0,668.0,13,4,19,1,1,0,0
838,854.0,0,0.5,0,2,0,30,0.5,125.0,8,5,518.0,1152.0,2889.0,5,2,11,0,0,1,2
355,1610.0,1,2.9,0,7,1,64,0.9,181.0,4,12,1236.0,1280.0,941.0,8,4,9,1,1,0,1
1616,1986.0,1,0.5,1,7,1,39,0.1,89.0,7,19,251.0,599.0,3476.0,11,8,17,1,1,0,3
682,804.0,1,0.8,1,12,1,41,0.9,89.0,1,13,709.0,818.0,2027.0,11,5,11,1,0,0,1
812,1113.0,0,0.6,1,0,0,25,0.3,145.0,1,10,1047.0,1312.0,277.0,11,2,12,1,0,1,0
1680,1826.0,1,0.5,1,5,1,49,0.6,172.0,8,6,973.0,1633.0,1612.0,17,9,17,1,1,0,2
209,1277.0,1,0.5,1,0,1,35,0.4,142.0,6,6,309.0,1460.0,3559.0,18,17,6,1,1,0,3
1492,1130.0,1,0.5,1,1,1,29,0.7,130.0,1,14,593.0,1327.0,432.0,6,1,10,1,1,1,0
140,1753.0,0,0.5,1,0,1,31,0.1,134.0,1,18,1590.0,1926.0,1324.0,17,0,17,1,0,1,2
1974,915.0,1,0.5,1,9,1,33,0.3,199.0,2,16,503.0,986.0,2156.0,7,3,13,1,1,0,1
1339,1988.0,1,0.5,0,0,1,16,0.1,94.0,8,1,153.0,696.0,3144.0,16,2,14,1,0,0,3
1797,873.0,1,0.5,1,6,0,8,0.6,152.0,7,9,1257.0,1411.0,575.0,15,8,7,1,0,1,0
1574,1628.0,1,1.8,1,11,0,56,0.1,136.0,2,13,500.0,1713.0,3358.0,17,11,12,1,1,1,3
1181,1271.0,0,1.5,1,0,0,2,0.9,161.0,1,1,1260.0,1788.0,892.0,15,13,20,0,1,0,1
1393,1444.0,1,2.1,1,0,0,6,0.9,103.0,1,1,1274.0,1340.0,712.0,17,5,10,0,0,0,0
1815,1766.0,1,0.5,1,1,0,16,0.6,141.0,5,7,125.0,1227.0,3314.0,9,7,17,0,0,1,3
711,1744.0,1,1.0,0,1,1,20,0.5,112.0,8,3,68.0,718.0,1205.0,18,7,14,1,0,0,1
1793,1299.0,1,2.8,1,0,0,64,0.5,83.0,6,6,46.0,908.0,1938.0,19,8,5,1,0,1,1
892,912.0,0,0.5,1,0,0,58,0.3,107.0,5,1,165.0,1723.0,3573.0,17,3,20,1,1,0,3
859,623.0,0,2.0,0,2,0,6,0.1,127.0,3,4,144.0,672.0,3657.0,17,3,19,1,1,0,2
10,769.0,1,2.9,1,0,0,9,0.1,182.0,5,1,248.0,874.0,3946.0,5,2,7,0,0,0,3
1694,1441.0,0,0.6,1,0,1,53,0.5,106.0,1,12,254.0,954.0,1393.0,9,4,4,1,1,1,1
1427,1489.0,0,2.1,1,0,0,9,0.4,169.0,3,1,923.0,1759.0,1663.0,9,3,14,1,0,1,1
282,1839.0,1,1.2,0,9,1,54,0.5,200.0,7,11,475.0,1493.0,927.0,19,10,18,1,0,1,1
810,691.0,1,2.7,1,4,1,33,0.9,108.0,4,8,951.0,962.0,424.0,5,3,15,1,1,1,0
1341,1423.0,0,0.6,0,12,0,44,0.8,131.0,5,13,501.0,640.0,2253.0,10,8,9,0,0,0,1
291,1563.0,0,1.7,1,10,0,16,0.1,151.0,7,13,410.0,572.0,3922.0,11,1,8,0,0,1,3
754,1092.0,0,2.7,1,8,0,45,0.8,185.0,1,10,1404.0,1424.0,1303.0,12,3,20,0,1,1,1
626,1620.0,1,2.2,1,0,1,30,0.2,185.0,3,3,832.0,1033.0,606.0,6,0,18,1,0,0,0
943,1428.0,1,1.6,0,0,0,7,0.1,153.0,4,2,584.0,983.0,1808.0,12,8,13,0,1,0,1
861,525.0,0,2.4,1,11,0,35,0.8,190.0,7,20,82.0,670.0,1609.0,16,11,3,0,0,0,0
129,1571.0,0,1.4,0,0,1,19,0.1,100.0,6,1,713.0,1398.0,666.0,12,10,13,1,1,0,0
1175,563.0,0,2.0,1,3,0,47,0.3,115.0,7,12,211.0,684.0,3012.0,14,4,15,1,0,0,2
323,1379.0,1,2.1,1,14,1,63,1.0,83.0,1,17,207.0,1370.0,651.0,9,6,7,1,1,0,0
1090,1245.0,1,0.6,0,2,0,30,0.7,105.0,5,3,330.0,1434.0,2676.0,17,8,7,1,0,0,2
843,1438.0,1,1.8,0,3,0,16,0.6,169.0,8,7,859.0,867.0,2246.0,14,11,15,0,0,0,2
963,1861.0,1,0.9,0,4,1,55,0.5,148.0,7,8,1698.0,1877.0,601.0,7,5,4,1,0,0,1
1864,1220.0,1,2.8,0,1,0,54,0.7,109.0,7,20,383.0,1249.0,1037.0,6,4,15,1,0,0,0
865,642.0,0,2.8,0,3,0,34,0.8,197.0,2,15,331.0,1011.0,3355.0,12,5,13,0,0,0,2
921,1624.0,1,2.6,1,0,0,58,1.0,200.0,3,11,1530.0,1744.0,1251.0,13,4,18,0,1,1,1
695,560.0,1,2.0,1,6,1,57,0.3,81.0,3,12,80.0,1327.0,2167.0,11,10,7,1,0,1,1
215,1987.0,1,0.5,0,3,1,53,1.0,181.0,3,7,1052.0,1516.0,3117.0,18,5,8,1,1,1,3
1780,909.0,1,0.7,1,7,0,47,0.1,146.0,3,9,410.0,1643.0,1244.0,14,10,16,0,1,0,0
1261,1562.0,0,0.5,1,1,1,20,0.8,172.0,8,10,678.0,1676.0,3465.0,16,11,6,1,1,0,3
158,1356.0,0,2.8,0,0,0,29,0.5,198.0,6,0,1612.0,1983.0,3702.0,17,0,19,0,0,0,3
1058,643.0,0,1.0,0,9,1,18,0.2,187.0,8,12,442.0,1079.0,2648.0,7,5,18,1,1,1,1
988,1413.0,1,0.5,1,4,1,45,0.4,104.0,5,6,1949.0,1994.0,2973.0,17,8,15,1,0,1,3
841,510.0,0,1.7,1,3,0,35,0.8,120.0,3,6,382.0,1228.0,2509.0,17,2,11,0,1,1,1
634,1397.0,0,2.9,1,13,0,9,0.5,87.0,6,18,1308.0,1991.0,3137.0,12,1,11,1,1,1,3
